部首編號,筆畫數,漢字,總筆劃,說文解字
73,7,曹,11,獄之兩曹也，在廷東。从㯥，治事者。从曰。 【徐鍇曰：以言詞治獄也，故从曰。】 〔昨牢切〕 (100 / 95)
73,8,曾,12,詞之舒也。从八从曰，𡆧聲。 〔昨稜切〕 (28 / 22)
73,8,替,12,
73,8,最,12,犯而取也。从冃从取。 〔祖外切〕 (157 / 154)
73,8,朁,12,曾也。从曰，兓聲。《詩》曰：朁不畏明。 【臣鉉等曰：今俗有昝字，蓋朁之譌。】 〔七感切〕 (100 / 95)
73,9,會,13,合也。从亼从曾省。曾，益也。凡會之屬皆从會。㣛，古文會如此。 〔黃外切〕 (109 / 104)
73,10,朄,14,擊小鼓引樂聲也。从申，柬聲。 〔羊晉切〕 (311 / 313)
73,10,朅,14,去也。从去，曷聲。 〔丘竭切〕 (104 / 99)
74,0,月,4,闕也，大陰之精。象形。凡月之屬皆从月。 〔魚厥切〕 (141 / 137)
74,2,有,6,不宜有也。《春秋傳》曰：日月有食之。从月，又聲。凡有之屬皆从有。 〔云九切〕 (141 / 138)
74,4,朋,8,神鳥也。天老曰：鳳之象也。鴻前麐後，蛇頸魚尾，鸛顙鴛思，龍文虎背，燕頷雞喙，五色備舉，出於東方君子之國，翱翔四海之外，過崐崘，飲砥柱，濯羽弱水，莫宿風穴，見則天下大安寧。从鳥，凡聲。𢐴，古文鳳，象形。鳳飛，群鳥從以萬數，故以爲朋黨字。鵬，亦古文鳳。 〔馮貢切〕 (79 / 73)
74,4,服,8,用也。一曰：車右騑，所以舟旋。从舟，𠬝聲。𦨈，古文服从人。 〔房六切〕 (176 / 173)
74,5,朏,9,月未盛之明。从月、出。《周書》曰：丙午朏。 〔普乃切，又芳尾切〕 (141 / 138)
74,5,朐,9,脯挺也。从肉，句聲。 〔其俱切〕 (89 / 84)
74,6,朒,10,
74,6,朓,10,晦而月見西方謂之朓。从月，兆聲。 〔土了切〕 (141 / 138)
74,6,朔,10,月一日始蘇也。从月，屰聲。 〔所角切〕 (141 / 137)
74,6,朕,10,我也。闕。 〔直禁切〕 (176 / 173)
74,7,朗,11,明也。从月，良聲。 〔盧黨切〕 (141 / 138)
74,7,朘,11,赤子陰也。从肉，夋聲。或从血。 〔子回切〕 (90 / 85)
74,7,望,11,出亡在外，望其還也。从亡，朢省聲。 〔巫放切〕 (267 / 268)
74,8,朝,12,旦也。从倝，舟聲。 〔陟遙切〕 (140 / 136)
74,8,期,12,會也。从月，其聲。𣅆，古文期从日、丌。 〔渠之切〕 (141 / 138)
74,9,𣎆,13,
74,9,朠,13,
74,9,朡,13,
74,10,朢,14,月滿，與日相朢，以朝君也。从月从臣从𡈼。𡈼，朝廷也。𦣠，古文朢省。 〔無放切〕 (169 / 167)
74,12,朣,16,
74,14,朦,18,月朦朧也。从月，蒙聲。 〔莫工切〕 (141 / 138)
74,16,朧,20,朦朧也。从月，龍聲。 〔盧紅切〕 (141 / 138)
75,0,木,4,冒也。冒地而生，東方之行。从屮，下象其根。凡木之屬皆从木。 【徐鍇曰：屮者，木始甲拆，萬物皆始於微，故木从屮。】 〔莫卜切〕 (114 / 110)
75,1,未,5,味也。六月滋味也。五行木老於未，象木重枝葉也。凡未之屬皆从未。 〔無沸切〕 (311 / 312)
75,1,末,5,木上曰末。从木，一在其上。 〔莫撥切〕 (118 / 114)
75,1,本,5,木下曰本。从木，一在其下。楍，古文。 【徐鍇曰：一，記其處也。本、末、朱皆同義。】 〔布忖切〕 (118 / 114)
75,1,札,5,牒也。从木，乙聲。 〔側八切〕 (124 / 119)
75,1,朮,5,稷之黏者。从禾、朮，象形。术，秫或省禾。 〔食聿切〕 (144 / 141)
75,2,朱,6,赤心木，松柏屬。从木，一在其中。 〔章俱切〕 (118 / 114)
75,2,朳,6,
75,2,朴,6,木皮也。从木，卜聲。 〔匹角切〕 (118 / 114)
75,2,朵,6,樹木垂朵朵也。从木，象形。此與𥝩同意。 〔丁果切〕 (119 / 114)
75,2,朸,6,木之理也。从木，力聲。平原有朸縣。 〔盧則切〕 (119 / 115)
75,2,朹,6,
75,2,机,6,木也。从木，几聲。 〔居履切〕 (118 / 113)
75,2,朻,6,高木也。从木，丩聲。 〔吉虯切〕 (119 / 114)
75,2,朼,6,
75,2,朽,6,腐也。从歺，丂聲。朽，㱙或从木。 〔許久切〕 (85 / 80)
75,2,朾,6,(橦)[撞]也。从木，丁聲。 〔宅耕切〕 (125 / 120)
75,2,朿,6,木芒也。象形。凡朿之屬皆从朿。讀若刺。 〔七賜切〕 (143 / 139)
75,3,杅,7,所以涂也。秦謂之杇，關東謂之槾。从木，亏聲。 〔哀都切〕 (121 / 116)
75,3,杆,7,
75,3,杇,7,所以涂也。秦謂之杇，關東謂之槾。从木，亏聲。 〔哀都切〕 (121 / 116)
75,3,杈,7,枝也。从木，叉聲。 〔初牙切〕 (118 / 114)
75,3,杉,7,木也。从木，煔聲。 【臣鉉等曰：今俗作杉，非是。】 〔所銜切〕 (116 / 111)
75,3,杋,7,
75,3,杌,7,
75,3,杍,7,果也。从木，子聲。杍，古文。 〔良止切〕 (114 / 110)
75,3,李,7,果也。从木，子聲。杍，古文。 〔良止切〕 (114 / 110)
75,3,杏,7,果也。从木，可省聲。 〔何梗切〕 (114 / 110)
75,3,材,7,木梃也。从木，才聲。 〔昨哉切〕 (119 / 115)
75,3,村,7,
75,3,杓,7,枓柄也。从木从勺。 【臣鉉等曰：今俗作市若切，以爲桮杓之杓。】 〔甫搖切〕 (122 / 118)
75,3,杕,7,樹皃。从木，大聲。《詩》曰：有杕之杜。 〔特計切〕 (119 / 115)
75,3,杖,7,持也。从木，丈聲。 【臣鉉等曰：今俗別作仗，非是。】 〔直兩切〕 (123 / 118)
75,3,杗,7,棟也。从木，亡聲。《爾雅》曰：杗廇謂之梁。 〔武方切〕 (121 / 116)
75,3,杙,7,劉劉杙。从木，弋聲。 〔与職切〕 (116 / 111)
75,3,杚,7,平也。从木，气聲。 〔古沒切〕 (122 / 117)
75,3,杜,7,甘棠也。从木，土聲。 〔徒古切〕 (115 / 110)
75,3,杝,7,落也。从木，也聲。讀若他。 〔池尔切〕 (121 / 116)
75,3,杞,7,枸杞也。从木，己聲。 〔墟里切〕 (117 / 113)
75,3,束,7,縛也。从囗、木。凡束之屬皆从束。 〔書玉切〕 (128 / 124)
75,3,杠,7,牀前橫木也。从木，工聲。 〔古雙切〕 (121 / 117)
75,3,极,7,驢上負也。从木，及聲。或讀若急。 〔其輒切〕 (124 / 119)
75,4,杪,8,木標末也。从木，少聲。 〔亡沼切〕 (119 / 114)
75,4,杬,8,
75,4,杭,8,扞也。从手，亢聲。杭，抗或从木。 〔苦浪切〕 【臣鉉等曰：今俗作胡郎切】 (257 / 257)
75,4,杯,8,㔶也。从木，否聲。𠤯，籀文桮。 〔布回切〕 (122 / 117)
75,4,杰,8,
75,4,東,8,動也。从木。官溥說：从日在木中。凡東之屬皆从東。 〔得紅切〕 (126 / 121)
75,4,杲,8,明也。从日在木上。 〔古老切〕 (119 / 115)
75,4,杳,8,冥也。从日在木下。 〔烏皎切〕 (119 / 115)
75,4,杴,8,
75,4,杵,8,舂杵也。从木，午聲。 〔昌與切〕 (122 / 117)
75,4,杶,8,木也。从木，屯聲。《夏書》曰：杶榦栝柏。櫄，或从熏。杶，古文杶。 〔敕倫切〕 (116 / 111)
75,4,杷,8,收麥器。从木，巴聲。 〔蒲巴切〕 (122 / 117)
75,4,杸,8,軍中士所持殳也。从木从殳。《司馬法》曰：執羽从杸。 〔市朱切〕 (66 / 60)
75,4,杹,8,
75,4,杺,8,
75,4,杻,8,
75,4,杼,8,機之持緯者。从木，予聲。 〔直呂切〕 (123 / 118)
75,4,杽,8,械也。从木从手，手亦聲。 〔敕九切〕 (125 / 121)
75,4,松,8,木也。从木，公聲。㮤，松或从容。 〔祥容切〕 (118 / 113)
75,4,板,8,
75,4,枃,8,
75,4,构,8,
75,4,枅,8,屋櫨也。从木，幵聲。 〔古兮切〕 (120 / 116)
75,4,枆,8,
75,4,枇,8,枇杷，木也。从木，比聲。 〔房脂切〕 (116 / 111)
75,4,枉,8,衺曲也。从木，𡉚聲。 〔迂往切〕 (119 / 114)
75,4,枋,8,木，可作車。从木，方聲。 〔府良切〕 (117 / 112)
75,4,枌,8,榆也。从木，分聲。 〔扶分切〕 (118 / 113)
75,4,枍,8,
75,4,枎,8,枎疏，四布也。从木，夫聲。 〔防無切〕 (119 / 114)
75,4,枏,8,梅也。从木，冄聲。 〔汝閻切〕 (114 / 110)
75,4,析,8,破木也。一曰：折也。从木从斤。 〔先激切〕 (125 / 120)
75,4,枑,8,行馬也。从木，互聲。《周禮》曰：設梐枑再重。 〔胡誤切〕 (124 / 119)
75,4,枒,8,木也。从木，牙聲。一曰：車𨊾會也。 〔五加切〕 (117 / 113)
75,4,枓,8,勺也。从木从斗。 〔之庾切〕 (122 / 118)
75,4,枔,8,
75,4,枕,8,臥所薦首者。从木，冘聲。 〔章衽切〕 (121 / 117)
75,4,林,8,平土有叢木曰林。从二木。凡林之屬皆从林。 〔力尋切〕 (126 / 121)
75,4,枘,8,
75,4,枙,8,
75,4,枚,8,榦也。可爲杖。从木从攴。《詩》曰：施于條枚。 〔莫桮切〕 (118 / 114)
75,4,果,8,木實也。从木，象果形在木之上。 〔古火切〕 (118 / 114)
75,4,枝,8,木別生條也。从木，支聲。 〔章移切〕 (118 / 114)
75,4,枟,8,
75,5,枮,9,木也。从木，占聲。 〔息廉切〕 (118 / 113)
75,5,枯,9,槀也。从木，古聲。《夏書》曰：唯箘輅枯。木名也。 〔苦孤切〕 (119 / 115)
75,5,枰,9,平也。从木从平，平亦聲。 〔蒲兵切〕 (125 / 120)
75,5,枲,9,麻也。从𣎳，台聲。䢄，籀文枲从𣏟从辝。 〔胥里切〕 (149 / 146)
75,5,枳,9,木似橘。从木，只聲。 〔諸氏切〕 (117 / 112)
75,5,枴,9,
75,5,枵,9,木根也。从木，号聲。《春秋傳》曰：歲在玄枵。玄枵，虛也。 〔許嬌切〕 (119 / 114)
75,5,架,9,
75,5,枷,9,柫也。从木，加聲。淮南謂之柍。 〔古牙切〕 (122 / 117)
75,5,枸,9,木也。可爲醬，出蜀。从木，句聲。 〔俱羽切〕 (116 / 112)
75,5,枹,9,擊鼓杖也。从木，包聲。 〔甫無切〕 (124 / 119)
75,5,枺,9,
75,5,枻,9,
75,5,枼,9,楄也。枼，薄也。从木，世聲。 【臣鉉等曰：當从𠦃，乃得聲。𠦃，穌合切。】 〔与涉切〕 (125 / 120)
75,5,柀,9,檆也。从木，皮聲。一曰：折也。 〔甫委切〕 (116 / 111)
75,5,柁,9,
75,5,柂,9,
75,5,柃,9,木也。从木，令聲。 〔郎丁切〕 (122 / 117)
75,5,柄,9,柯也。从木，丙聲。棅，或从秉。 〔陂病切〕 (123 / 119)
75,5,柅,9,木也。實如棃。从木，尼聲。 〔女履切〕 (116 / 112)
75,5,柆,9,折木也。从木，立聲。 〔盧合切〕 (125 / 120)
75,5,柈,9,
75,5,柉,9,
75,5,柊,9,
75,5,柋,9,
75,5,柌,9,
75,5,柍,9,梅也。从木，央聲。一曰：江南橦材，其實謂之柍。 〔於京切〕 (115 / 110)
75,5,柎,9,闌足也。从木，付聲。 〔甫無切〕 (124 / 119)
75,5,柏,9,鞠也。从木，白聲。 〔博陌切〕 (118 / 113)
75,5,某,9,酸果也。从木从甘。闕。槑，古文某从口。 〔莫厚切〕 (118 / 113)
75,5,柑,9,
75,5,柒,9,
75,5,染,9,以繒染爲色。从水，杂聲。 【徐鍇曰：《說文》無杂字。裴光遠云：从木，木者，所以染栀茜之屬也。从九，九者，染之數也，未知其審。】 〔而琰切〕 (237 / 236)
75,5,柔,9,木曲直也。从木，矛聲。 〔耳由切〕 (119 / 115)
75,5,柘,9,桑也。从木，石聲。 〔之夜切〕 (117 / 113)
75,5,柙,9,檻也，以藏虎兕。从木，甲聲。㘡，古文柙。 〔烏匣切〕 (125 / 121)
75,5,柚,9,條也，似橙而酢。从木，由聲。《夏書》曰：厥包橘柚。 〔余救切〕 (114 / 110)
75,5,柛,9,
75,5,柜,9,木也。从木，巨聲。 〔其呂切〕 (117 / 113)
75,5,柝,9,判也。从木，㡿聲。《易》曰：重門擊𣔳。 〔他各切〕 (119 / 115)
75,5,柞,9,木也。从木，乍聲。 〔在各切〕 (116 / 111)
75,5,柟,9,梅也。从木，冄聲。 〔汝閻切〕 (114 / 110)
75,5,柢,9,木根也。从木，氐聲。 〔都禮切〕 (118 / 114)
75,5,柣,9,
75,5,柤,9,木閑。从木，且聲。 〔側加切〕 (121 / 116)
75,5,查,9,
75,5,柦,9,
75,5,柧,9,棱也。从木，瓜聲。又柧棱，殿堂上最高之處也。 〔古胡切〕 (125 / 120)
75,5,柩,9,棺也。从匚从木，久聲。𠥬，籀文柩。 〔(日)[巨]救切〕 (268 / 268)
75,5,柪,9,
75,5,柫,9,擊禾連枷也。从木，弗聲。 〔𢾭勿切〕 (122 / 117)
75,5,柬,9,分別𥳑之也。从束从八，八，分別也。 〔古限切〕 (128 / 124)
75,5,柭,9,棓也。从木，犮聲。 〔北末切〕 (123 / 118)
75,5,柮,9,斷也。从木，出聲。讀若《爾雅》貀無前足之貀。 〔女滑切〕 (125 / 120)
75,5,柯,9,斧柄也。从木，可聲。 〔古俄切〕 (123 / 119)
75,5,柰,9,果也。从木，示聲。 〔奴帶切〕 (114 / 110)
75,5,柱,9,楹也。从木，主聲。 〔直主切〕 (120 / 115)
75,5,柲,9,欑也。从木，必聲。 〔兵媚切〕 (123 / 119)
75,5,柳,9,小楊也。从木，卯聲。卯，古文酉。 〔力九切〕 (117 / 112)
75,5,柴,9,小木散材。从木，此聲。 【臣鉉等曰：師行野次，豎散木爲區落，名曰柴籬。後人語譌，轉入去聲，又別作寨字，非是。】 〔士佳切〕 (119 / 115)
75,5,柵,9,編樹木也。从木从冊，冊亦聲。 〔楚革切〕 (121 / 116)
75,5,柶,9,《禮》有柶。柶，匕也。从木，四聲。 〔息利切〕 (122 / 117)
75,5,柷,9,樂木空也，所以止音爲節。从木，祝省聲。 〔昌六切〕 (124 / 119)
75,5,柸,9,
75,5,柺,9,
75,5,柼,9,
75,5,柿,9,赤實果。从木，𠂔聲。 〔鉏里切〕 (114 / 110)
75,6,栒,10,
75,6,栓,10,
75,6,栔,10,刻也。从㓞从木。 〔苦計切〕 (93 / 87)
75,6,栖,10,
75,6,栗,10,木也。从木，其實下垂，故从𠧪。𣡷，古文㮚从西从二𠧪。徐巡說：木至西方戰㮚。 〔力質切〕 (143 / 139)
75,6,栘,10,棠棣也。从木，多聲。 〔弋支切〕 (117 / 112)
75,6,栚,10,槌之橫者也。關西謂之㯢。从木，灷聲。 【臣鉉等曰：當从朕省。】 〔直衽切〕 (122 / 118)
75,6,栜,10,桋也。从木，策省聲。 〔所厄切〕 (126 / 121)
75,6,栝,10,炊竈木。从木，舌聲。 【臣鉉等曰：當从甛省，乃得聲。】 〔他念切〕 (123 / 119)
75,6,栟,10,栟櫚也。从木，并聲。 〔府盈切〕 (115 / 111)
75,6,栠,10,弱皃。从木，任聲。 〔如甚切〕 (118 / 114)
75,6,校,10,木囚也。从木，交聲。 〔古孝切〕 (124 / 120)
75,6,栥,10,
75,6,栦,10,
75,6,栨,10,
75,6,栩,10,(柔)[𣏗]也。从木，羽聲。其皁一曰樣。 〔況羽切〕 (116 / 111)
75,6,株,10,木根也。从木，朱聲。 〔陟輸切〕 (118 / 114)
75,6,栫,10,以柴木𡓱也。从木，存聲。 〔徂悶切〕 (123 / 118)
75,6,栭,10,屋枅上標。从木，而聲。《爾雅》曰：栭謂之㮞。 〔如之切〕 (120 / 116)
75,6,栮,10,
75,6,栯,10,
75,6,栱,10,
75,6,栲,10,
75,6,栳,10,
75,6,栴,10,
75,6,栵,10,栭也。从木，列聲。《詩》曰：其灌其栵。 〔良辥切〕 (120 / 116)
75,6,核,10,蠻夷以木皮爲篋，狀如籢尊。从木，亥聲。 〔古哀切〕 (123 / 118)
75,6,根,10,木株也。从木，艮聲。 〔古痕切〕 (118 / 114)
75,6,栺,10,
75,6,栻,10,
75,6,格,10,木長皃。从木，各聲。 〔古百切〕 (119 / 115)
75,6,栽,10,築牆長版也。从木，𢦒聲。《春秋傳》曰：楚圍蔡，里而栽。 〔昨代切〕 (120 / 115)
75,6,桀,10,磔也。从舛在木上。凡桀之屬皆从桀。 〔渠列切〕 (114 / 109)
75,6,桁,10,
75,6,桂,10,江南木，百藥之長。从木，圭聲。 〔古惠切〕 (115 / 110)
75,6,桃,10,果也。从木，兆聲。 〔徒刀切〕 (115 / 110)
75,6,桄,10,充也。从木，光聲。 〔古曠切〕 (124 / 120)
75,6,桅,10,黃木可染者。从木，危聲。 〔過委切〕 (118 / 113)
75,6,框,10,
75,6,案,10,几屬。从木，安聲。 〔烏旰切〕 (122 / 118)
75,6,桉,10,几屬。从木，安聲。 〔烏旰切〕 (122 / 118)
75,6,桋,10,赤栜也。从木，夷聲。《詩》曰：隰有杞桋。 〔以脂切〕 (115 / 111)
75,6,桌,10,
75,6,桍,10,
75,6,桎,10,足械也。从木，至聲。 〔之日切〕 (125 / 121)
75,6,桏,10,𣞍椐木也。从木，邛聲。 〔渠容切〕 (115 / 110)
75,6,桐,10,榮也。从木，同聲。 〔徒紅切〕 (117 / 113)
75,6,桑,10,蠶所食葉木。从叒、木。 〔息郎切〕 (127 / 123)
75,6,桓,10,亭郵表也。从木，亘聲。 〔胡官切〕 (121 / 116)
75,6,桔,10,桔梗，藥名。从木，吉聲。一曰：直木。 〔古屑切〕 (116 / 111)
75,7,桫,11,
75,7,桭,11,
75,7,桮,11,㔶也。从木，否聲。𠤯，籀文桮。 〔布回切〕 (122 / 117)
75,7,桯,11,牀前几。从木，呈聲。 〔他丁切〕 (121 / 117)
75,7,桱,11,桱桯也。東方謂之蕩。从木，巠聲。 〔古零切〕 (121 / 117)
75,7,桲,11,
75,7,桴,11,棟名。从木，孚聲。 〔附柔切〕 (120 / 115)
75,7,桵,11,白桵棫。从木，妥聲。 【臣鉉等曰：當从綏省。】 〔儒隹切〕 (116 / 111)
75,7,桶,11,木方，受六升。从木，甬聲。 〔他奉切〕 (123 / 119)
75,7,桷,11,榱也。椽方曰桷。从木，角聲。《春秋傳》曰：刻桓宮之桷。 〔古岳切〕 (120 / 116)
75,7,桸,11,
75,7,桹,11,高木也。从木，良聲。 〔魯當切〕 (119 / 114)
75,7,桻,11,
75,7,桼,11,木汁可以䰍物。象形。桼如水滴而下。凡桼之屬皆从桼。 〔親吉切〕 (128 / 124)
75,7,桽,11,
75,7,桾,11,
75,7,桿,11,
75,7,梀,11,短椽也。从木，束聲。 〔丑錄切〕 (121 / 116)
75,7,梁,11,水橋也。从木从水，刅聲。𣸑，古文。 〔呂張切〕 (124 / 120)
75,7,梂,11,櫟實。一曰：鑿首。从木，求聲。 〔巨鳩切〕 (117 / 113)
75,7,梃,11,一枚也。从木，廷聲。 〔徒頂切〕 (119 / 114)
75,7,梅,11,枏也，可食。从木，每聲。楳，或从某。 〔莫桮切〕 (114 / 110)
75,7,梆,11,
75,7,梇,11,木也。从木，弄聲。益州有梇棟縣。 〔盧貢切〕 (118 / 113)
75,7,梉,11,
75,7,梊,11,
75,7,梋,11,
75,7,梌,11,
75,7,梏,11,手械也。从木，告聲。 〔古沃切〕 (125 / 121)
75,7,梐,11,梐枑也。从木，陛省聲。 〔邊兮切〕 (124 / 119)
75,7,梑,11,
75,7,梒,11,
75,7,梓,11,楸也。从木，宰省聲。榟，或不省。 〔即里切〕 (115 / 111)
75,7,梔,11,木實，可染。从木，巵聲。 〔章移切〕 (126 / 121)
75,7,梖,11,
75,7,梗,11,山枌榆，有朿莢，可爲蕪夷者。从木，更聲。 〔古杏切〕 (118 / 113)
75,7,梛,11,
75,7,梜,11,檢柙也。从木，夾聲。 〔古洽切〕 (124 / 120)
75,7,條,11,小枝也。从木，攸聲。 〔徒遼切〕 (118 / 114)
75,7,梟,11,不孝鳥也。日至捕梟磔之。从鳥頭在木上。 〔古堯切〕 (125 / 121)
75,7,梠,11,楣也。从木，呂聲。 〔力舉切〕 (120 / 116)
75,7,梡,11,㮯木薪也。从木，完聲。 〔胡本切〕 (125 / 120)
75,7,梢,11,木也。从木，肖聲。 〔所交切〕 (116 / 112)
75,7,梣,11,青皮木。从木，岑聲。𣘕，或从𡩠省。𡩠，籀文𡪢。 〔子林切〕 (115 / 111)
75,7,梤,11,香木也。从木，㞣聲。 〔撫文切〕 (117 / 112)
75,7,梧,11,梧桐木。从木，吾聲。一名櫬。 〔五胡切〕 (117 / 113)
75,7,梨,11,果名。从木，𥝢聲。𥝢，古文利。 〔力脂切〕 (114 / 110)
75,7,梩,11,臿也。从木，㠯聲。一曰：徙土輂，齊人語也。梩，或从里。 【臣鉉等曰：今俗作耜。】 〔詳里切〕 (121 / 117)
75,7,梪,11,木豆謂之梪。从木、豆。 〔徒候切〕 (102 / 97)
75,7,梫,11,桂也。从木，㑴省聲。 〔七荏切〕 (115 / 110)
75,7,梬,11,棗也，似柹。从木，甹聲。 〔以整切〕 (114 / 110)
75,7,梭,11,木也。从木，夋聲。 【臣鉉等曰：今人別音穌禾切，以爲機杼之屬。】 〔私閏切〕 (116 / 112)
75,7,梮,11,
75,7,梯,11,木階也。从木，弟聲。 〔土雞切〕 (123 / 118)
75,7,械,11,桎梏也。从木，戒聲。一曰：器之總名。一曰：持也。一曰：有盛爲械，無盛爲器。 〔胡戒切〕 (125 / 121)
75,7,梱,11,門橛也。从木，困聲。 〔苦本切〕 (121 / 116)
75,7,梲,11,木杖也。从木，兌聲。 〔他活切，又之說切〕 (123 / 119)
75,7,梳,11,理髮也。从木，疏省聲。 〔所菹切〕 (121 / 117)
75,7,梴,11,長木也。从木，延聲。《詩》曰：松桷有梴。 〔丑連切〕 (119 / 115)
75,7,梵,11,出自西域釋書，未詳意義。 〔扶泛切〕 (126 / 122)
75,8,棄,12,捐也。从廾推𠦒棄之，从𠫓。𠫓，逆子也。弃，古文棄。𠆉，籀文棄。 【臣鉉等曰：𠫓，他忽切。】 〔詰利切〕 (83 / 78)
75,8,棆,12,毋杶也。从木，侖聲。讀若《易》卦屯。 〔陟倫切〕 (115 / 110)
75,8,棇,12,
75,8,棈,12,
75,8,棉,12,
75,8,棋,12,博棊。从木，其聲。 〔渠之切〕 (123 / 119)
75,8,棌,12,
75,8,棍,12,
75,8,棎,12,
75,8,棐,12,輔也。从木，非聲。 〔𢾭尾切〕 (125 / 121)
75,8,棑,12,
75,8,棒,12,
75,8,棓,12,梲也。从木，咅聲。 〔步項切〕 (123 / 118)
75,8,棔,12,
75,8,棕,12,
75,8,棖,12,杖也。从木，長聲。一曰：法也。 〔宅耕切〕 (123 / 118)
75,8,棗,12,羊棗也。从重朿。 〔子皓切〕 (143 / 139)
75,8,棘,12,小棗叢生者。从並朿。 〔己力切〕 (143 / 139)
75,8,棚,12,棧也。从木，朋聲。 〔薄衡切〕 (123 / 118)
75,8,棜,12,
75,8,棝,12,棝斗，可射鼠。从木，固聲。 〔古慕切〕 (124 / 120)
75,8,棞,12,
75,8,棟,12,極也。从木，東聲。 〔多貢切〕 (120 / 115)
75,8,棠,12,牡曰棠，牝曰杜。从木，尚聲。 〔徒郎切〕 (115 / 110)
75,8,棡,12,
75,8,棣,12,白棣也。从木，隶聲。 〔特計切〕 (117 / 112)
75,8,棤,12,
75,8,棦,12,
75,8,棧,12,棚也。竹木之車曰棧。从木，戔聲。 〔士限切〕 (123 / 118)
75,8,棨,12,傳信也。从木，啓省聲。 〔康禮切〕 (124 / 119)
75,8,棩,12,
75,8,棪,12,遬其也。从木，炎聲。讀若三年導服之導。 〔以冉切〕 (115 / 111)
75,8,棫,12,白桵也。从木，或聲。 〔于逼切〕 (116 / 111)
75,8,棬,12,
75,8,森,12,木多皃。从林从木。讀若曾參之參。 〔所今切〕 (126 / 122)
75,8,棯,12,
75,8,棰,12,
75,8,棱,12,柧也。从木，夌聲。 〔魯登切〕 (125 / 120)
75,8,棲,12,鳥在巢上。象形。日在西方而鳥棲，故因以爲東西之西。凡西之屬皆从西。棲，西或从木、妻。卥，古文西。卤，籀文西。 〔先稽切〕 (247 / 247)
75,8,棳,12,木也。从木，叕聲。益州有棳縣。 〔職說切〕 (115 / 111)
75,8,棴,12,
75,8,棵,12,
75,8,棶,12,
75,8,棷,12,木薪也。从木，取聲。 〔側鳩切〕 (125 / 120)
75,8,棸,12,
75,8,棹,12,
75,8,棺,12,關也，所以掩尸。从木，官聲。 〔古丸切〕 (125 / 121)
75,8,棻,12,
75,8,棼,12,複屋棟也。从林，分聲。 〔符分切〕 (126 / 122)
75,8,棽,12,木枝條棽儷皃。从林，今聲。 〔丑林切〕 (126 / 122)
75,8,椄,12,續木也。从木，妾聲。 〔子葉切〕 (123 / 119)
75,8,椅,12,梓也。从木，奇聲。 〔於离切〕 (115 / 111)
75,8,椆,12,木也。从木，周聲。讀若丩。 〔職留切〕 (115 / 110)
75,8,椇,12,
75,8,椈,12,
75,8,椉,12,覆也。从入、桀。桀，黠也。《軍法》曰：乘。𠅞，古文乘从几。 〔食陵切〕 (114 / 109)
75,8,椊,12,
75,8,椋,12,即來也。从木，京聲。 〔呂張切〕 (115 / 111)
75,8,椌,12,柷樂也。从木，空聲。 〔苦江切〕 (124 / 119)
75,8,植,12,戶植也。从木，直聲。㯰，或从置。 〔常職切〕 (120 / 116)
75,8,椎,12,擊也。齊謂之終葵。从木，隹聲。 〔直追切〕 (123 / 119)
75,8,椏,12,
75,8,椐,12,樻也。从木，居聲。 〔九魚切〕 (116 / 111)
75,8,椑,12,圜榼也。从木，卑聲。 〔部迷切〕 (122 / 118)
75,8,椒,12,
75,8,椓,12,擊也。从木，豖聲。 〔竹角切〕 (124 / 120)
75,8,椔,12,
75,8,椕,12,
75,8,椗,12,
75,8,椥,12,
75,8,椪,12,
75,9,椯,13,箠也。从木，耑聲。一曰：椯，度也。一曰：剟也。 〔兜果切〕 (123 / 118)
75,9,椰,13,
75,9,椲,13,木也。可屈爲杅者。从木，韋聲。 〔于鬼切〕 (115 / 110)
75,9,椳,13,門樞謂之椳。从木，畏聲。 〔烏恢切〕 (121 / 116)
75,9,椴,13,
75,9,椵,13,木，可作牀几。从木，叚聲。讀若賈。 〔古雅切〕 (116 / 112)
75,9,椷,13,篋也。从木，咸聲。 〔古咸切〕 (122 / 118)
75,9,椸,13,衣架也。从木，施聲。 〔以支切〕 (126 / 121)
75,9,椹,13,
75,9,椻,13,
75,9,椼,13,
75,9,椽,13,榱也。从木，彖聲。 〔直專切〕 (120 / 116)
75,9,椿,13,
75,9,楀,13,木也。从木，禹聲。 〔王矩切〕 (115 / 111)
75,9,楁,13,
75,9,楂,13,
75,9,楄,13,楄部方木也。从木，扁聲。《春秋傳》曰：楄部薦榦。 〔部田切〕 (125 / 120)
75,9,楅,13,以木有所逼束也。从木，畐聲。《詩》曰：夏而楅衡。 〔彼即切〕 (125 / 120)
75,9,楈,13,木也。从木，胥聲。讀若芟刈之芟。 〔私閭切〕 (115 / 110)
75,9,楉,13,
75,9,楊,13,木也。从木，昜聲。 〔与章切〕 (117 / 112)
75,9,楋,13,木也。从木，剌聲。 〔盧達切〕 (116 / 112)
75,9,楌,13,
75,9,楎,13,六叉犂。一曰：犂上曲木犂轅。从木，軍聲。讀若渾天之渾。 〔戶昆切〕 (122 / 117)
75,9,楏,13,
75,9,楑,13,木也。从木，癸聲。又度也。 〔求癸切〕 (115 / 110)
75,9,楒,13,
75,9,楓,13,木也。厚葉弱枝，善搖。一名𣠞。从木，風聲。 〔方戎切〕 (117 / 112)
75,9,楔,13,櫼也。从木，契聲。 〔先結切〕 (121 / 116)
